objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Star Realms: Crisis – Fleets & Fortresses","166704","0","","0","1","0","0","0","0","0","0","0","1","","","","","","42541921","0","0","2.0233","0","8483","thing","Star Realms: Crisis – Fleets & Fortresses","2","6","20","0","20","2014","2,3,4","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Star Trek: Five-Year Mission","178613","8","2","0","1","0","0","0","0","0","0","0","4","","","","","","36307227","0","0","1.7692","0","3071","thing","Star Trek: Five-Year Mission","3","7","45","45","30","2015","3,4,5,6,7","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Star Wars: Destiny – Two-Player Game","234931","0","","0","1","0","0","0","0","0","0","0","3","","","","","","55091674","0","0","2.25","0","3197","thing","Star Wars: Destiny – Two-Player Game","2","2","30","30","30","2017","2","2","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","3.99","USD","","","","Best Buy","2","Clearance at BB for $3.99 each (bought 2)","","","","","",""
"Star Wars: Imperial Assault","164153","0","","0","1","0","0","0","0","0","0","0","3","","","","","","84096804","0","0","3.3051","0","36838","thing","Star Wars: Imperial Assault","1","5","120","120","60","2014","2,3,4,5","2,5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","45.99","USD","","","2021-07-16","Half Price Books","1","","","","","","",""
"Star Wars: X-Wing Miniatures Game","103885","8","","0","1","0","0","0","0","0","0","0","1","","Rebel Alliance (X-Wing) Galactic Empire (TIE Fighters 2x)","","","","40833820","0","0","2.4889","0","38822","thing","Star Wars: X-Wing Miniatures Game","2","2","45","45","30","2012","2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Star Wars: X-Wing Miniatures Game – Hound's Tooth Expansion Pack","176742","0","","0","1","0","0","0","0","0","0","0","3","","Scum and Villainy","","","","37534923","0","0","4","0","2199","thing","Star Wars: X-Wing Miniatures Game – Hound's Tooth Expansion Pack","2","2","20","0","20","2015","","","","","","","","","","expansion","","7.19","USD","","","","Barnes & Noble","1","","","","","","",""
"Star Wars: X-Wing Miniatures Game – Imperial Aces Expansion Pack","148259","0","","0","1","0","0","0","0","0","0","0","1","","Galactic Empire (TIE Interceptors)","","","","37534960","0","0","2.48","0","5518","thing","Star Wars: X-Wing Miniatures Game – Imperial Aces Expansion Pack","2","4","30","30","30","2014","2,4","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","13.47","USD","","","","Barnes & Noble","1","","","","","","",""
"Star Wars: X-Wing Miniatures Game – Inquisitor's TIE Expansion Pack","182369","0","","0","1","0","0","0","0","0","0","0","1","","Galactic Empire (Inquisitor's TIE)","","","","37534983","0","0","2","0","1882","thing","Star Wars: X-Wing Miniatures Game – Inquisitor's TIE Expansion Pack","0","0","0","0","0","2016","","","","","","","","","","expansion","","6.72","USD","","","","Barnes & Noble","1","","","","","","",""
"Star Wars: X-Wing Miniatures Game – Rebel Aces Expansion Pack","156770","0","","0","1","0","0","0","0","0","0","0","1","","Rebel Alliance (A-wing and B-wing)","","","","37534962","0","0","2.4706","0","4653","thing","Star Wars: X-Wing Miniatures Game – Rebel Aces Expansion Pack","2","2","30","30","30","2014","2","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","13.47","USD","","","","Barnes & Noble","1","","","","","","",""
"Star Wars: X-Wing Miniatures Game – T-70 X-Wing Expansion Pack","183966","0","","0","1","0","0","0","0","0","0","0","1","","Resistance","","","","37534971","0","0","2.4","0","1875","thing","Star Wars: X-Wing Miniatures Game – T-70 X-Wing Expansion Pack","2","2","20","20","20","2015","2","2","12+","","","","","","","expansion","","6.72","USD","","","","Barnes & Noble","1","","","","","","",""
"Star Wars: X-Wing Miniatures Game – The Force Awakens Core Set","183562","0","","0","1","0","0","0","0","0","0","0","3","","Rebel Alliance (X-Wing) Galactic Empire (TIE Fighters 2x)","","","","37534933","0","0","2.8545","0","7930","thing","Star Wars: X-Wing Miniatures Game – The Force Awakens Core Set","2","2","45","45","30","2015","2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","17.97","USD","","","","Barnes & Noble","1","","","","","","",""
"Star Wars: X-Wing Miniatures Game – Z-95 Headhunter Expansion Pack","154766","0","","0","1","0","0","0","0","0","0","0","4","","Rebel Alliance","","","","38329744","0","0","2.1818","0","4202","thing","Star Wars: X-Wing Miniatures Game – Z-95 Headhunter Expansion Pack","2","2","20","20","20","2014","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Steam","27833","0","","0","1","0","0","0","0","0","0","0","3","","","","","","38348239","0","0","3.4568","0","10638","thing","Steam","3","5","90","90","90","2009","3,4,5","4","12+","No necessary in-game text","","","","","","standalone","","20","USD","","","2020-02-03","Miniature Market","1","MM Daily Deal","","","","","",""
"Stinky Pig Game","170954","1","","0","1","0","0","0","0","0","0","0","3","","","","","","77069157","0","0","1","0","170","thing","Stinky Pig Game","2","99","10","10","10","2014","3,4,5,6,7,8","3,4,5","3+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Stratego","1917","5","","0","1","1","0","0","0","0","0","0","3","","","","","","27818254","0","0","1.8486","0","25068","thing","Stratego","2","2","45","45","45","1946","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Summoner Wars (Second Edition)","332800","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","84962482","0","0","2.5429","0","2005","thing","Summoner Wars (Second Edition)","2","2","60","60","40","2021","2","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","35.99","USD","","","2021-08-14","Miniature Market","1","$39.99 - $5 price match","","","","","",""
"Sushi Go!","133473","7","2","0","1","0","0","0","0","0","0","0","1","","","","","","28275255","0","0","1.1646","0","64425","thing","Sushi Go!","2","5","15","15","15","2013","3,4,5","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Taboo","1111","0","","0","1","0","0","0","0","0","0","0","3","","","","","","27818336","0","0","1.2147","0","19226","thing","Taboo","4","10","20","20","20","1989","4,5,6,7,8,9,10","6,8","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Takenoko","70919","8.5","1","0","1","0","0","0","0","0","0","0","3","","","","","","27818509","0","0","1.9757","0","57491","thing","Takenoko","2","4","45","45","45","2011","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Targi","118048","7.6","1","0","1","0","0","0","0","0","0","0","3","","Zee’s #1 worker placement game (July 2018)","","","","57506290","0","0","2.3524","0","25802","thing","Targi","2","2","60","60","60","2012","2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","14.19","USD","","","2019-03-15","Miniature Market","1","","","","","","",""
"Targi: The Expansion","202453","0","","0","1","0","0","0","0","0","0","0","3","","","","","","75626342","0","0","2.5714","0","4821","thing","Targi: The Expansion","2","2","60","60","60","2016","2","2","8","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","14.49","USD","","","2020-09-14","Miniature Market","1","","","","","","",""
"Telestrations","46213","0","","0","1","0","0","0","0","0","0","0","3","","","","","","57051977","0","0","1.0771","0","19960","thing","Telestrations","4","8","30","30","30","2009","5,6,7,8","8","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","14.99","USD","","","2018-12-30","Go! Games","1","50% off","","","","","",""
"Tem-Purr-A","95386","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","53506449","0","0","1.2","0","2064","thing","Tem-Purr-A","3","10","15","15","15","2011","4,5,6,7,8","6,7,8","6+","No necessary in-game text","","","","","","standalone","","7.49","USD","","","","Half Price Books","1","","","","","","",""
"Tenzi","113819","5","","0","1","0","0","0","0","0","0","0","3","","","","","","27818282","0","0","1","0","2558","thing","Tenzi","2","4","5","5","1","2011","2,3,4","","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Teotihuacan: City of Gods","229853","0","","0","1","0","0","0","0","0","0","0","2","","","","","","57970747","0","0","3.762","0","20464","thing","Teotihuacan: City of Gods","1","4","120","120","90","2018","1,2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","34.99","USD","","","2019-02-12","Miniature Market","1","","","","","","",""
"Terraforming Mars","167791","9","4","0","1","0","0","0","0","0","0","0","4","","","","","","36948418","0","0","3.2448","0","99689","thing","Terraforming Mars","1","5","120","120","120","2016","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","42.2","USD","","","2019-01-17","Amazon","1","","","","","","",""
"Terraforming Mars: Ares Expedition","328871","0","","0","1","0","0","0","0","0","0","0","3","","","","","","86138340","0","0","2.9036","0","8235","thing","Terraforming Mars: Ares Expedition","1","4","60","60","45","2021","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","50","USD","","","2021-10-02","Origins","1","Kickstarter Edition (dual layer bds, promos, trays)","","","","","",""
"Terraforming Mars: Prelude","247030","9","","0","1","0","0","0","0","0","0","0","3","","","","","","58469836","0","0","2.4831","0","32109","thing","Terraforming Mars: Prelude","1","5","120","120","90","2018","1,2,3,4,5","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","14.19","USD","","","2019-01-26","Miniature Market","1","","","","","","",""
